tenure,deposit,turnover,withdrawal,deposit_next
7,201.5,585.07,432.33,0
4557,1517.52,7977.18,1109.86,0
5620,19509.12,77670.69,24153.33,603.21
5752,751.26,3124.13,278.01,669.64
988,9750.78,84634.26,7169.47,456.85
394,337.94,660.54,291.17,35.42
7,71.56,555.48,0,787.47
63,5842.29,30440.48,8851.68,4688.72
2186,3279.73,15993.53,3596.88,134.39
2475,21380.77,37339.22,13756.17,1702.15
1670,5742.82,23673.61,4197.76,1902.55
2135,6777.68,13725.41,6756.98,579.78
1512,5208.21,22178.67,3503.24,1485
6132,44917.54,570120.26,24799.24,886.62
1383,1690.21,6411,0,590.38
3870,14309.9,86552.33,9297.47,3574.95
3362,7238.2,29147.43,0,0
2237,1564.43,10601.59,1431.46,23.05
2074,10518.84,28088.87,10049.8,142.25
1874,5978.49,7547.62,3325.68,527.88
295,137.02,270.13,135.38,0
37,104.35,225.05,0,197.16
584,7174.52,154924.98,1179.59,1446.81
416,5309.44,30540.04,4425.85,1078.28
1789,7094.31,15335.19,7338.48,237.52
2,2763.57,1633.54,0,0
3868,943.81,3119.87,0,0
3593,7852.73,52042.53,9131.62,209.6
5440,28338.97,130445.45,22138.13,4962.59
879,3185.41,21561.22,6566.4,1594.73
363,3270.99,5265.87,0,0
10,1865.51,12054.73,1146.56,0
6577,33768.46,140730.57,23269.48,4510.7
2110,12031.58,44245.43,12318.08,0
591,107600.38,769703.96,93275.6,24013.74
1487,13469.05,51280.36,2128.01,945.71
2524,5442.9,23298.6,5248.53,144.26
2062,2977.48,14345.5,3521.68,0
1086,15311.96,70289.56,17137.11,483.91
4737,5617.14,41638.53,0,1112.27
4652,1134.42,4342.34,193.28,0
4688,43610.7,280809.15,28527.06,5185.88
3184,12208.19,73382.71,12516.52,356.41
1589,35932.73,261360.96,23668.42,714.39
117,6889.21,50338.81,0,4751.01
102,475.79,1081,348.43,225.52
701,8822.75,45786.09,6858.34,2343.13
1353,91010.05,1779781.49,8719.7,2611.54
716,77456.23,1168867.81,68503.56,53529.91
1251,327095.71,2197059.6,239048.27,22569.83
686,9799.71,77733.2,6703.81,0
462,1137.2,5179.13,1007.99,115.3
10,701.3,2741.63,781.61,1084.94
88,3380.28,10963.02,2077.72,1181.78
15,264.16,1649.78,838.13,239.97
1117,12243.49,49903.68,13499.75,3355.12
297,108.41,1469.7,0,23.23
3376,4111.34,36397.42,328.94,3007.77
3379,1382.68,3590.27,880.88,0
3043,68168.4,462726.36,43128.21,854.29
1533,1344.77,3721.45,142.39,1158.81
